0,1,2,3,4,5
Madhya Pradesh,KHARGONE - 27,GAJENDRA SINGH PATEL,Bharatiya Janata Party,135018,1558778
Madhya Pradesh,MANDLA - 14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,103846,1535632
Madhya Pradesh,MANDSOUR - 23,SUDHEER GUPTA,Bharatiya Janata Party,500655,1433492
Madhya Pradesh,MORENA - 1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,52530,1187331
Madhya Pradesh,RAJGARH - 20,RODMAL NAGAR,Bharatiya Janata Party,146089,1428997
Madhya Pradesh,RATLAM - 24,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,207232,1532643
Madhya Pradesh,REWA - 10,JANARDAN MISHRA,Bharatiya Janata Party,193374,918129
Madhya Pradesh,SAGAR - 5,DR. LATA WANKHEDE,Bharatiya Janata Party,471222,1150549
Madhya Pradesh,SATNA - 9,GANESH SINGH,Bharatiya Janata Party,84949,1058972
Madhya Pradesh,SHAHDOL - 12,SMT. HIMADRI SINGH,Bharatiya Janata Party,397340,1152013
Madhya Pradesh,SIDHI - 11,DR. RAJESH MISHRA,Bharatiya Janata Party,206416,1147264
Madhya Pradesh,TIKAMGARH - 6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,403312,1098390
Madhya Pradesh,UJJAIN - 22,ANIL FIROJIYA,Bharatiya Janata Party,375860,1328580
Madhya Pradesh,VIDISHA - 18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,821408,1455658
Maharashtra,Ahmednagar - 37,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,28929,1325477
Maharashtra,Akola - 6,ANUP SANJAY DHOTRE,Bharatiya Janata Party,40626,1173072
Maharashtra,Amravati  - 7,BALWANT BASWANT WANKHADE,Indian National Congress,19731,1173579
Maharashtra,Aurangabad - 19,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,134650,1302197
Maharashtra,Baramati - 35,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,158333,1412349
Maharashtra,Beed - 39,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,6553,1522295
Maharashtra,Bhandara Gondiya - 11,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,37380,1235073
Maharashtra,Bhiwandi - 23,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,66121,1253399
Maharashtra,Buldhana - 5,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,29479,1109496
Maharashtra,Chandrapur - 13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,260406,1241304
Maharashtra,Dhule - 2,BACHHAV SHOBHA DINESH,Indian National Congress,3831,1219295
Maharashtra,Dindori  - 20,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,113199,1240910
Maharashtra,Gadchiroli - Chimur - 12,DR. KIRSAN  NAMDEO,Indian National Congress,141696,1166360
Maharashtra,Hatkanangale - 48,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,13426,1296024
Maharashtra,Hingoli - 15,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),108602,1159300
Maharashtra,Jalgaon - 3,SMITA UDAY WAGH,Bharatiya Janata Party,251594,1169553
Maharashtra,Jalna - 18,KALYAN VAIJINATHRAO KALE,Indian National Congress,109958,1363409
Maharashtra,Kalyan - 24,DR SHRIKANT EKNATH SHINDE,Shiv Sena,209144,1045736
Maharashtra,Kolhapur - 47,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,154964,1393326
Maharashtra,Latur  - 41,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,61881,1239079
Maharashtra,Madha - 43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,120837,1273418
Maharashtra,Maval - 33,SHRIRANG APPA CHANDU BARNE,Shiv Sena,96615,1419401
Maharashtra,Mumbai North - 26,PIYUSH GOYAL,Bharatiya Janata Party,357608,1035493
Maharashtra,Mumbai North Central - 29,GAIKWAD VARSHA EKNATH,Indian National Congress,16514,910562
Maharashtra,Mumbai North East - 28,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),29861,926469
Maharashtra,Mumbai North West - 27,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),-48,954939
Maharashtra,Mumbai South - 31,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),52673,773113
Maharashtra,Mumbai South Central - 30,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),53384,794524
Maharashtra,Nagpur - 10,NITIN JAIRAM GADKARI,Bharatiya Janata Party,137603,1211321
Maharashtra,Nanded - 16,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,59442,1128254
Maharashtra,Nandurbar - 1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,159120,1393669
Maharashtra,Nashik - 21,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),162001,1237204
Maharashtra,Osmanabad - 40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),329846,1281052
Maharashtra,Palghar - 22,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,183306,1376074
